mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
7.7829999999999995,0.892,0.31,0.147,0.26899999999999996,0.156,0.882,43.143,0.0
7.865,0.892,0.34299999999999997,0.147,0.257,0.162,0.909,43.043,0.0
7.632999999999999,0.898,0.308,0.14300000000000002,0.268,0.153,0.871,42.968,0.0
7.392,0.894,0.32799999999999996,0.14400000000000002,0.256,0.14800000000000002,0.875,42.976000000000006,0.0
7.468999999999999,0.892,0.306,0.14300000000000002,0.27399999999999997,0.145,0.867,42.725,0.0
7.662999999999999,0.9,0.33899999999999997,0.14300000000000002,0.264,0.15,0.8959999999999999,42.151,0.0
7.726,0.9,0.29600000000000004,0.13699999999999998,0.254,0.15,0.836,42.8,0.0
7.632,0.902,0.275,0.14,0.244,0.149,0.807,37.063,0.0
7.852,0.902,0.317,0.138,0.255,0.149,0.86,37.345,0.0
7.836,0.898,0.319,0.131,0.252,0.143,0.845,37.022,0.0
7.832,0.899,0.305,0.136,0.259,0.141,0.841,36.94,0.0
7.984,0.901,0.353,0.139,0.247,0.14,0.879,36.946,0.0
7.965,0.9,0.338,0.132,0.256,0.146,0.873,37.022,0.0
7.963,0.903,0.28,0.129,0.246,0.136,0.791,36.963,0.0
7.818,0.906,0.264,0.134,0.247,0.142,0.787,37.076,0.0
8.016,0.91,0.286,0.133,0.233,0.144,0.796,37.105,0.0
7.712,0.895,0.318,0.126,0.26,0.141,0.846,36.992,0.0
7.869,0.909,0.273,0.13,0.231,0.139,0.773,36.931,0.0
7.702,0.906,0.301,0.13,0.238,0.129,0.798,37.002,0.0
7.732,0.908,0.305,0.129,0.236,0.136,0.807,37.113,0.0
7.846,0.897,0.264,0.122,0.249,0.139,0.774,37.006,0.0
7.727,0.913,0.278,0.127,0.214,0.131,0.751,36.95,0.0
7.79,0.914,0.265,0.122,0.221,0.137,0.745,37.036,0.0
7.84,0.904,0.261,0.126,0.244,0.131,0.763,37.066,0.0
7.629,0.906,0.275,0.122,0.234,0.129,0.759,37.041,0.0
7.729,0.903,0.279,0.121,0.233,0.132,0.765,37.009,0.0
7.942,0.908,0.302,0.123,0.235,0.128,0.788,37.075,0.0
7.944,0.913,0.301,0.122,0.224,0.137,0.784,37.004,0.0
7.762,0.907,0.294,0.121,0.24,0.129,0.783,37.013,0.0
7.721,0.911,0.284,0.122,0.228,0.128,0.762,36.931,0.0
7.993,0.909,0.306,0.122,0.223,0.128,0.779,36.88,0.0
7.81,0.918,0.255,0.118,0.211,0.128,0.712,36.999,0.0
7.843,0.909,0.291,0.121,0.229,0.129,0.771,37.054,0.0
8.011,0.908,0.282,0.117,0.233,0.123,0.755,37.073,0.0
8.26,0.911,0.262,0.118,0.228,0.118,0.726,37.115,0.0
8.259,0.912,0.236,0.114,0.225,0.122,0.697,37.046,0.0
8.093,0.917,0.272,0.117,0.207,0.13,0.727,37.085,0.0
8.16,0.92,0.248,0.113,0.208,0.121,0.691,37.155,0.0
8.21,0.913,0.273,0.114,0.213,0.118,0.719,37.105,0.0
8.206,0.917,0.25,0.114,0.214,0.123,0.702,37.104,0.0
8.114,0.914,0.261,0.115,0.219,0.12,0.714,37.16,0.0
8.015,0.912,0.285,0.114,0.223,0.12,0.742,37.057,0.0
7.849,0.917,0.247,0.109,0.216,0.119,0.69,37.064,0.0
7.995,0.914,0.267,0.116,0.225,0.124,0.732,37.191,0.0
8.186,0.917,0.258,0.11,0.216,0.124,0.708,37.141,0.0
8.159,0.922,0.269,0.106,0.204,0.119,0.699,37.116,0.0
8.04,0.925,0.215,0.107,0.202,0.112,0.637,37.098,0.0
